song,lyrics
exile,I never learned to read your mind (Never learned to read my mind)
exile,I couldn't turn things around (You never turned things around)
exile,'Cause you never gave a warning sign (I gave so many signs)
exile,So many signs
exile,So many signs (You didn't even see the signs)
exile,I think I've seen this film before
exile,And I didn't like the ending
exile,You're not my homeland anymore
exile,So what am I defending now?
exile,You were my town
exile,Now I'm in exile seein' you out
exile,I think I've seen this film before
exile,So I'm leaving out the side door
exile,So step right out
exile,There is no amount
exile,Of cryin' I can do for you
exile,All this time
exile,We always walked a very thin line
exile,You didn't even hear me out (You didn't even hear me out)
exile,You never gave a warning sign (I gave so many signs)
exile,All this time
exile,I never learned to read your mind (Never learned to read my mind)
exile,I couldn't turn things around (You never turned things around)
exile,'Cause you never gave a warning sign (I gave so many signs)
exile,All this time (So many times)
exile,I never learned to read your mind (So many signs)
exile,I couldn't turn things around
exile,'Cause you never gave a warning sign (Never gave a warning sign)
my tears ricochet,We gather here
my tears ricochet,We line up weeping in a sunlit room
my tears ricochet,And if I'm on fire
my tears ricochet,"You'll be made of ashes, too"
my tears ricochet,Even on my worst day
my tears ricochet,"Did I deserve, babe"
my tears ricochet,All the hell you gave me?
my tears ricochet,'Cause I loved you
my tears ricochet,I swear I loved you
my tears ricochet,Till my dying day
my tears ricochet,I didn't have it in myself to go with grace
my tears ricochet,And you're the hero flying around saving face
my tears ricochet,And if I'm dead to you why are you at the wake?
my tears ricochet,Cursing my name
my tears ricochet,Wishing I stayed
my tears ricochet,Look at how my tears ricochet
my tears ricochet,We gather stones
my tears ricochet,Never knowing what they'll mean
my tears ricochet,Some to throw
my tears ricochet,Some to make a diamond ring
my tears ricochet,You know I didn't want to
my tears ricochet,Have to haunt you
my tears ricochet,But what a ghostly scene
my tears ricochet,You wear the same jewels
my tears ricochet,That I gave you
my tears ricochet,As you bury me
my tears ricochet,I didn't have it in myself to go with grace
my tears ricochet,"'Cause when I'd fight, you used to tell me I was brave"
my tears ricochet,And if I'm dead to you why are you at the wake?
my tears ricochet,Cursing my name
my tears ricochet,Wishing I'd stayed
my tears ricochet,Look at how my tears ricochet
my tears ricochet,And I can go anywhere I want
my tears ricochet,Anywhere I want
my tears ricochet,Just not home
my tears ricochet,"And you can aim for my heart, go for blood"
my tears ricochet,But you would still miss me in your bones
my tears ricochet,And I still talk to you
my tears ricochet,When I'm screaming at the sky
my tears ricochet,And when you can't sleep at night
my tears ricochet,You hear my stolen lullabies
my tears ricochet,I didn't have it in myself to go with grace
my tears ricochet,And so the battleships will sink beneath the waves
my tears ricochet,"You had to kill me, but it killed you just the same"
my tears ricochet,Cursing my name
my tears ricochet,Wishing I stayed
my tears ricochet,You turned into your worst fears
my tears ricochet,And you're tossing out blame
my tears ricochet,Drunk on this pain
my tears ricochet,Crossing out the good years
my tears ricochet,And you're cursing my name
my tears ricochet,Wishing I stayed
my tears ricochet,Look at how my tears ricochet
mirrorball,I want you to know
mirrorball,I'm a mirrorball
mirrorball,I'll show you every version of yourself tonight
mirrorball,I'll get you out on the floor
mirrorball,Shimmering beautiful
mirrorball,And when I break it's in a million pieces
mirrorball,Hush
mirrorball,"When no one is around, my dear"
mirrorball,You'll find me on my tallest tiptoes
mirrorball,"Spinning in my highest heels, love"
mirrorball,Shining just for you
mirrorball,Hush
mirrorball,I know they said the end is near
mirrorball,But I'm still on my tallest tiptoes
mirrorball,"Spinning in my highest heels, love"
mirrorball,Shining just for you
mirrorball,I want you to know
mirrorball,I'm a mirrorball
mirrorball,I can change everything about me to fit in
mirrorball,You are not like the regulars
mirrorball,The masquerade revelers
mirrorball,Drunk as they watch my shattered edges glisten
mirrorball,Hush
mirrorball,"When no one is around, my dear"
mirrorball,You'll find me on my tallest tiptoes
mirrorball,"Spinning in my highest heels, love"
mirrorball,Shining just for you
mirrorball,Hush
mirrorball,I know they said the end is near
mirrorball,But I'm still on my tallest tiptoes
mirrorball,"Spinning in my highest heels, love"
mirrorball,Shining just for you
mirrorball,And they called off the circus
mirrorball,Burned the disco down
mirrorball,When they sent home the horses
mirrorball,And the rodeo clowns
mirrorball,I'm still on that tightrope
mirrorball,I'm still trying everything to get you laughing at me
mirrorball,I'm still a believer but I don't know why
mirrorball,I've never been a natural
mirrorball,"All I do is try, try, try"
mirrorball,I'm still on that trapeze
mirrorball,I'm still trying everything
mirrorball,To keep you looking at me
mirrorball,Because I'm a mirrorball
mirrorball,I'm a mirrorball
mirrorball,I'll show you every version of yourself
mirrorball,Tonight
seven,Please picture me
seven,In the trees
seven,I hit my peak at seven
seven,Feet
seven,In the swing
seven,Over the creek
seven,"I was too scared to jump in, but I, I was high"
seven,In the sky
seven,With Pennsylvania under me
seven,Are there still beautiful things?
seven,Sweet tea in the summer
seven,"Cross your heart, won't tell no other"
seven,And though I can't recall your face
seven,I still got love for you
seven,Your braids like a pattern
seven,Love you to the moon and to Saturn
seven,Passed down like folk songs
seven,The love lasts so long
seven,And I've been meaning to tell you
seven,I think your house is haunted
seven,Your dad is always mad and that must be why
seven,And I think you should come live with
seven,Me and we can be pirates
seven,Then you won't have to cry
seven,Or hide in the closet
seven,And just like a folk song
seven,Our love will be passed on
seven,Please picture me
seven,In the weeds
seven,Before I learned civility
seven,I used to scream
seven,Ferociously
seven,Any time I wanted
seven,Sweet tea in the summer
seven,"Cross my heart, won't tell no other"
seven,And though I can't recall your face
seven,I still got love for you
seven,Pack your dolls and a sweater
seven,We'll move to India forever
seven,Passed down like folk songs
seven,Our love lasts so long
august,Salt air
august,And the rust on your door
august,I never needed anything more
august,Whispers
august,"Of ""Are you sure?"""
august,Never have I ever before
august,But I can see us
august,Lost in the memory
august,August slipped away into a moment in time
august,'Cause it was never mine
august,And I can see us twisted in bedsheets
august,August sipped away
august,Like a bottle of wine
august,'Cause you were never mine
august,Your back
august,Beneath the sun
august,Wishing I could write my name on it
august,Will you call when you're back at school?
august,I remember thinking I had you
august,But I can see us
august,Lost in the memory
august,August slipped away into a moment in time
august,'Cause it was never mine
august,And I can see us twisted in bedsheets
august,August sipped away
august,Like a bottle of wine
august,'Cause you were never mine
august,Back when we were still changing for the better
august,Wanting was enough
august,"For me, it was enough"
august,To live for the hope of it all
august,Cancel plans just in case you'd call
august,"And say ""Meet me behind the mall"""
august,"So much for summer love, and saying ""Us"""
august,'Cause you weren't mine to lose
august,You weren't mine to lose
august,No
august,But I can see us
august,Lost in the memory
august,August slipped away into a moment in time
august,'Cause it was never mine
august,And I can see us twisted in bedsheets
august,August sipped away
august,Like a bottle of wine
august,"'Cause you were never mine, mine"
august,'Cause you were never mine
august,Never mine
august,Do you remember?
august,Remember when I pulled up
august,"And said ""Get in the car"""
august,And then canceled my plans
august,Just in case you'd call
august,Back when I was living for the hope of it all
august,For the hope of it all
august,Meet me behind the mall
august,(Remember when I pulled up)
august,"(And said ""Get in the car"")"
august,(And then canceled my plans)
august,(Just in case you'd call)
august,(Back when I was living for the hope of it all)
august,(For the hope of it all)
august,"(""Meet me behind the mall"")"
august,Remember when I pulled up
august,"And said ""Get in the car"""
august,And then canceled my plans
august,Just in case you'd call
august,Back when I was living for the hope of it all
august,(For the hope of it all)
august,For the hope of it all
august,For the hope of it all
august,For the hope of it all
august,For the hope of it all
this is me trying,I've been having a hard time adjusting
this is me trying,"I had the shiniest wheels, now they're rusting"
this is me trying,I didn't know if you'd care if I came back
this is me trying,I have a lot of regrets about that
this is me trying,Pulled the car off the road to the lookout
this is me trying,Could've followed my fears all the way down
this is me trying,And maybe I don't quite know what to say
this is me trying,But I'm here in your doorway
this is me trying,I just wanted you to know
this is me trying,That this is me trying
this is me trying,I just wanted you to know
this is me trying,That this is me trying
this is me trying,They told me all of my cages were mental
this is me trying,So I got wasted like all my potential
